@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE shape_context20 numeric
@ATTRIBUTE shape_context21 numeric
@ATTRIBUTE shape_context22 numeric
@ATTRIBUTE shape_context23 numeric
@ATTRIBUTE shape_context24 numeric
@ATTRIBUTE shape_context25 numeric
@ATTRIBUTE shape_context26 numeric
@ATTRIBUTE shape_context27 numeric
@ATTRIBUTE shape_context28 numeric
@ATTRIBUTE shape_context29 numeric
@ATTRIBUTE shape_context30 numeric
@ATTRIBUTE shape_context31 numeric
@ATTRIBUTE shape_context32 numeric
@ATTRIBUTE shape_context33 numeric
@ATTRIBUTE shape_context34 numeric
@ATTRIBUTE shape_context35 numeric
@ATTRIBUTE shape_context36 numeric
@ATTRIBUTE shape_context37 numeric
@ATTRIBUTE shape_context38 numeric
@ATTRIBUTE shape_context39 numeric
@ATTRIBUTE shape_context40 numeric
@ATTRIBUTE shape_context41 numeric
@ATTRIBUTE shape_context42 numeric
@ATTRIBUTE shape_context43 numeric
@ATTRIBUTE shape_context44 numeric
@ATTRIBUTE shape_context45 numeric
@ATTRIBUTE shape_context46 numeric
@ATTRIBUTE shape_context47 numeric
@ATTRIBUTE shape_context48 numeric
@ATTRIBUTE shape_context49 numeric
@ATTRIBUTE shape_context50 numeric
@ATTRIBUTE shape_context51 numeric
@ATTRIBUTE shape_context52 numeric
@ATTRIBUTE shape_context53 numeric
@ATTRIBUTE shape_context54 numeric
@ATTRIBUTE shape_context55 numeric
@ATTRIBUTE shape_context56 numeric
@ATTRIBUTE shape_context57 numeric
@ATTRIBUTE shape_context58 numeric
@ATTRIBUTE shape_context59 numeric
@ATTRIBUTE shape_context60 numeric
@ATTRIBUTE shape_context61 numeric
@ATTRIBUTE shape_context62 numeric
@ATTRIBUTE shape_context63 numeric
@ATTRIBUTE shape_context64 numeric
@ATTRIBUTE shape_context65 numeric
@ATTRIBUTE shape_context66 numeric
@ATTRIBUTE shape_context67 numeric
@ATTRIBUTE shape_context68 numeric
@ATTRIBUTE shape_context69 numeric
@ATTRIBUTE shape_context70 numeric
@ATTRIBUTE shape_context71 numeric
@ATTRIBUTE shape_context72 numeric
@ATTRIBUTE shape_context73 numeric
@ATTRIBUTE shape_context74 numeric
@ATTRIBUTE shape_context75 numeric
@ATTRIBUTE shape_context76 numeric
@ATTRIBUTE shape_context77 numeric
@ATTRIBUTE shape_context78 numeric
@ATTRIBUTE shape_context79 numeric
@ATTRIBUTE shape_context80 numeric
@ATTRIBUTE shape_context81 numeric
@ATTRIBUTE shape_context82 numeric
@ATTRIBUTE shape_context83 numeric
@ATTRIBUTE shape_context84 numeric
@ATTRIBUTE shape_context85 numeric
@ATTRIBUTE shape_context86 numeric
@ATTRIBUTE shape_context87 numeric
@ATTRIBUTE shape_context88 numeric
@ATTRIBUTE shape_context89 numeric
@ATTRIBUTE shape_context90 numeric
@ATTRIBUTE shape_context91 numeric
@ATTRIBUTE shape_context92 numeric
@ATTRIBUTE shape_context93 numeric
@ATTRIBUTE shape_context94 numeric
@ATTRIBUTE shape_context95 numeric
@ATTRIBUTE shape_context96 numeric
@ATTRIBUTE shape_context97 numeric
@ATTRIBUTE shape_context98 numeric
@ATTRIBUTE shape_context99 numeric
@ATTRIBUTE class { A B C D E F G H I J K L M N O P Q R S T U V  } 

 @DATA 
0.035391,0.474385,0.903449,0.012834,0.090873,0.158492,0.195287,0.122403,0.193574,0.012319,0.006040,-0.251499,0.543421,0.101560,0.101278,0.267703,-0.576921,0.459279,-0.254677,0.196248,0.068856,0.123269,0.069522,0.069522,-0.180241,-0.180241,0.420926,0.451604,0.451604,0.143551,0.143551,-0.108728,-0.108728,-0.194256,0.150306,0.150306,0.128623,0.292185,0.292185,-0.069777,-0.069777,0.107778,0.520235,0.520235,-0.041330,-0.041330,0.234537,0.234537,-0.183436,-0.183436,0.040924,-0.575619,-0.575619,0.050752,0.002833,0.002833,-0.416777,-0.416777,0.398494,0.398494,0.059797,0.059797,0.170591,0.170591,-0.402257,-0.402257,-0.315124,0.484573,0.484573,0.262122,0.262122,0.329621,0.329621,0.539485,0.539485,0.162594,0.162594,-0.093776,-0.093776,-0.071303,-0.071303,0.322695,0.322695,0.082080,0.082080,0.232579,0.232579,-0.063785,-0.063785,0.247420,-0.595819,-0.595819,0.189711,0.189711,0.194409,0.194409,-0.123971,-0.319162,0.123969,0.095182,A
-0.226938,0.052665,0.393243,0.018787,0.483648,-0.353084,0.192844,-0.149601,0.239405,-0.292454,0.450222,-0.237308,0.462979,0.315348,0.160961,0.143736,-0.172885,0.302317,-0.107203,-0.535030,0.011558,-0.271104,0.171450,0.171450,-0.177835,-0.177835,0.049267,0.002824,0.002824,0.104683,0.104683,-0.033751,-0.033751,0.088704,0.355768,0.355768,0.150959,-0.267920,-0.267920,0.297789,0.297789,-0.284043,0.076791,0.076791,-0.398598,-0.398598,0.138214,0.138214,-0.480160,-0.480160,-0.154998,-0.123334,-0.123334,-0.143968,0.188918,0.188918,0.095298,0.095298,-0.107227,-0.107227,-0.192200,-0.192200,-0.244358,-0.244358,0.027351,0.027351,-0.202607,0.086226,0.086226,-0.103171,-0.103171,-0.294857,-0.294857,0.430116,0.430116,-0.245229,-0.245229,0.221855,0.221855,-0.163046,-0.163046,0.254911,0.254911,0.079352,0.079352,0.079421,0.079421,-0.308716,-0.308716,-0.006000,-0.021369,-0.021369,0.328443,0.328443,0.240108,0.240108,0.261159,-0.035521,-0.076835,0.148065,A
0.207121,0.158615,0.320656,-0.052165,0.322667,-0.268510,0.019691,-0.024682,0.238881,-0.158900,0.254167,-0.259677,0.529347,0.284462,0.108670,0.122891,-0.340358,0.153350,-0.110440,-0.033532,0.015393,-0.181312,0.101441,0.101441,-0.311141,-0.311141,0.077722,0.040287,0.040287,0.225546,0.225546,0.014311,0.014311,-0.072483,0.079268,0.079268,-0.014021,-0.072058,-0.072058,-0.058502,-0.058502,-0.119814,0.202439,0.202439,-0.271868,-0.271868,0.260879,0.260879,-0.386117,-0.386117,-0.087297,-0.116017,-0.116017,-0.088245,0.364017,0.364017,-0.112883,-0.112883,-0.252782,-0.252782,-0.108643,-0.108643,-0.046466,-0.046466,-0.110645,-0.110645,-0.297298,-0.026531,-0.026531,0.063978,0.063978,-0.043380,-0.043380,0.167723,0.167723,-0.126044,-0.126044,0.285931,0.285931,0.046310,0.046310,-0.180540,-0.180540,0.175595,0.175595,-0.109953,-0.109953,0.092224,0.092224,-0.274321,-0.113532,-0.113532,0.238202,0.238202,0.061653,0.061653,0.324204,0.107533,0.044470,-0.005503,A
0.054481,-0.153995,0.349755,0.176168,0.266864,-0.000270,0.137185,0.303221,0.205986,-0.120138,-0.162480,-0.221895,0.376786,0.293261,0.045712,-0.053148,-0.274104,0.012980,0.078740,-0.139649,-0.057082,0.074914,0.118879,0.118879,-0.187001,-0.187001,0.138299,-0.071431,-0.071431,0.225455,0.225455,-0.014417,-0.014417,0.023729,0.195418,0.195418,-0.183929,-0.080841,-0.080841,0.096406,0.096406,-0.257596,0.270268,0.270268,-0.246404,-0.246404,0.027784,0.027784,-0.261173,-0.261173,0.041516,0.038783,0.038783,0.112219,0.058771,0.058771,0.043389,0.043389,-0.216319,-0.216319,0.056978,0.056978,-0.317200,-0.317200,-0.046043,-0.046043,-0.305664,0.116525,0.116525,0.096988,0.096988,-0.213829,-0.213829,0.428156,0.428156,-0.066861,-0.066861,0.210798,0.210798,-0.103661,-0.103661,-0.121673,-0.121673,0.067300,0.067300,-0.009280,-0.009280,-0.098727,-0.098727,-0.107367,-0.348005,-0.348005,0.259288,0.259288,0.074339,0.074339,0.215840,-0.023974,0.009237,-0.048622,A
0.020061,-0.072879,0.452198,0.264645,0.374976,0.035079,0.254337,0.345077,0.290007,-0.288088,-0.133885,-0.264315,0.266935,0.479556,0.075315,0.035588,-0.266466,0.112381,0.002792,-0.342680,-0.013878,-0.052422,0.252002,0.252002,-0.262747,-0.262747,-0.028308,-0.084972,-0.084972,0.196052,0.196052,-0.040970,-0.040970,0.104435,0.079903,0.079903,-0.249516,-0.095352,-0.095352,0.096514,0.096514,-0.255191,0.112949,0.112949,-0.380514,-0.380514,-0.012121,-0.012121,-0.121893,-0.121893,0.008891,0.138383,0.138383,0.074542,0.037852,0.037852,0.006332,0.006332,-0.193399,-0.193399,0.053186,0.053186,-0.428830,-0.428830,-0.019347,-0.019347,-0.296943,0.037537,0.037537,0.017076,0.017076,-0.181024,-0.181024,0.506850,0.506850,-0.185775,-0.185775,0.044360,0.044360,-0.067305,-0.067305,-0.179772,-0.179772,0.139137,0.139137,-0.004095,-0.004095,0.001891,0.001891,-0.178636,-0.387578,-0.387578,0.290907,0.290907,0.122458,0.122458,0.195317,0.080547,0.042222,-0.183925,A
-0.032028,0.081131,0.374096,0.175248,0.367134,-0.026362,0.100427,0.346233,0.313005,-0.275650,-0.138512,-0.209688,0.328312,0.173871,0.077765,-0.023518,-0.068265,0.090736,-0.051874,-0.382518,0.049317,-0.133691,0.197378,0.197378,-0.362743,-0.362743,-0.143650,-0.084808,-0.084808,0.195256,0.195256,-0.011430,-0.011430,0.148907,0.125651,0.125651,-0.361993,-0.082402,-0.082402,0.200366,0.200366,-0.316238,0.281512,0.281512,-0.482656,-0.482656,0.041872,0.041872,-0.156022,-0.156022,-0.045356,0.107951,0.107951,0.033875,0.134422,0.134422,0.067980,0.067980,-0.331240,-0.331240,0.014330,0.014330,-0.640838,-0.640838,-0.038071,-0.038071,-0.436822,0.107138,0.107138,0.174313,0.174313,-0.181674,-0.181674,0.351727,0.351727,-0.330146,-0.330146,0.260699,0.260699,-0.172140,-0.172140,-0.199877,-0.199877,0.045296,0.045296,0.058269,0.058269,-0.089526,-0.089526,-0.202506,-0.224118,-0.224118,0.319427,0.319427,0.219922,0.219922,0.233302,0.073961,0.028299,-0.317404,A
-0.033699,0.083376,0.167566,-0.043810,0.161404,-0.114318,-0.096325,0.066317,0.108494,-0.016895,-0.129860,-0.151153,0.335712,0.064257,0.144371,0.100356,-0.090971,0.103125,0.099339,-0.007197,0.031232,-0.001922,0.011517,0.011517,-0.292279,-0.292279,0.161352,-0.068857,-0.068857,0.228688,0.228688,0.066620,0.066620,0.075621,-0.000153,-0.000153,-0.111280,0.093926,0.093926,0.086838,0.086838,-0.093813,0.425759,0.425759,-0.174191,-0.174191,0.055353,0.055353,-0.028101,-0.028101,-0.099358,0.020333,0.020333,-0.043039,-0.037573,-0.037573,0.043307,0.043307,-0.103668,-0.103668,0.044945,0.044945,-0.279491,-0.279491,-0.113521,-0.113521,-0.407347,0.110929,0.110929,0.090831,0.090831,0.034180,0.034180,0.066358,0.066358,-0.156254,-0.156254,0.318212,0.318212,-0.062634,-0.062634,0.070985,0.070985,-0.040983,-0.040983,0.039122,0.039122,-0.105250,-0.105250,0.014630,0.013969,0.013969,0.239046,0.239046,0.104776,0.104776,0.149810,-0.101500,0.003767,-0.098698,A
-0.151245,0.527695,0.108603,0.127547,0.297306,-0.028453,-0.122143,-0.057897,0.223259,-0.177307,-0.018007,-0.191100,0.256111,0.126926,0.204752,0.045794,-0.020237,0.335715,-0.116945,-0.181893,0.148281,0.057418,0.193690,0.193690,-0.505070,-0.505070,0.133306,-0.095032,-0.095032,0.172104,0.172104,-0.019964,-0.019964,0.120772,0.254826,0.254826,-0.269370,-0.160341,-0.160341,0.363137,0.363137,-0.326954,0.321619,0.321619,-0.263090,-0.263090,-0.020964,-0.020964,-0.081620,-0.081620,-0.136622,-0.017956,-0.017956,-0.117286,-0.027257,-0.027257,-0.055714,-0.055714,-0.358775,-0.358775,0.034082,0.034082,-0.393160,-0.393160,-0.193344,-0.193344,-0.652088,0.168691,0.168691,0.046634,0.046634,0.099346,0.099346,0.173150,0.173150,-0.188684,-0.188684,0.450211,0.450211,-0.254446,-0.254446,0.015578,0.015578,-0.047644,-0.047644,0.152202,0.152202,-0.033377,-0.033377,-0.004540,-0.022991,-0.022991,0.455363,0.455363,0.340905,0.340905,0.325159,-0.060722,0.001645,-0.213070,A
-0.142818,0.113954,0.334187,0.137547,0.056865,-0.211727,-0.232924,-0.180976,0.084148,-0.121494,0.057561,-0.089315,0.189036,0.180150,0.125665,0.025780,0.089124,0.309271,0.040764,-0.060708,0.125374,0.143350,0.121962,0.121962,-0.363837,-0.363837,0.124875,0.232862,0.232862,0.161947,0.161947,-0.029008,-0.029008,0.030999,0.154046,0.154046,0.011652,-0.040912,-0.040912,0.167102,0.167102,-0.095276,0.176937,0.176937,-0.100662,-0.100662,0.231743,0.231743,-0.079767,-0.079767,-0.194458,0.167989,0.167989,-0.169148,0.032870,0.032870,0.065130,0.065130,-0.279790,-0.279790,0.075753,0.075753,-0.303670,-0.303670,-0.067304,-0.067304,-0.339245,0.038574,0.038574,0.091837,0.091837,-0.214292,-0.214292,0.404095,0.404095,-0.016848,-0.016848,0.370951,0.370951,-0.173162,-0.173162,0.323032,0.323032,-0.037964,-0.037964,0.012387,0.012387,-0.190380,-0.190380,0.160205,0.043911,0.043911,0.113085,0.113085,0.089852,0.089852,0.295662,-0.219563,-0.198119,0.012065,A
0.046181,0.159739,0.615967,0.228812,0.478714,-0.041139,0.026369,-0.112766,-0.018005,-0.125633,0.024710,-0.210139,0.655928,0.245641,-0.243122,-0.107585,-0.308044,0.127629,0.011811,0.028376,0.003649,0.130603,0.036245,0.036245,-0.082959,-0.082959,-0.236014,0.003399,0.003399,0.217909,0.217909,-0.029217,-0.029217,0.039232,0.142994,0.142994,-0.083343,-0.419936,-0.419936,0.393413,0.393413,-0.400862,0.059328,0.059328,-0.208099,-0.208099,0.071423,0.071423,-0.295016,-0.295016,-0.184358,-0.100425,-0.100425,-0.203858,0.388950,0.388950,0.347293,0.347293,-0.294105,-0.294105,0.043802,0.043802,-0.404045,-0.404045,0.222121,0.222121,0.242991,0.055810,0.055810,-0.071597,-0.071597,0.204251,0.204251,0.291537,0.291537,0.051595,0.051595,0.019592,0.019592,-0.116630,-0.116630,-0.277871,-0.277871,0.140998,0.140998,0.106539,0.106539,-0.059592,-0.059592,-0.225723,-0.246940,-0.246940,0.016093,0.016093,0.214416,0.214416,0.452633,0.248517,0.329309,-0.201107,A
