@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE shape_context20 numeric
@ATTRIBUTE shape_context21 numeric
@ATTRIBUTE shape_context22 numeric
@ATTRIBUTE shape_context23 numeric
@ATTRIBUTE shape_context24 numeric
@ATTRIBUTE shape_context25 numeric
@ATTRIBUTE shape_context26 numeric
@ATTRIBUTE shape_context27 numeric
@ATTRIBUTE shape_context28 numeric
@ATTRIBUTE shape_context29 numeric
@ATTRIBUTE shape_context30 numeric
@ATTRIBUTE shape_context31 numeric
@ATTRIBUTE shape_context32 numeric
@ATTRIBUTE shape_context33 numeric
@ATTRIBUTE shape_context34 numeric
@ATTRIBUTE shape_context35 numeric
@ATTRIBUTE shape_context36 numeric
@ATTRIBUTE shape_context37 numeric
@ATTRIBUTE shape_context38 numeric
@ATTRIBUTE shape_context39 numeric
@ATTRIBUTE shape_context40 numeric
@ATTRIBUTE shape_context41 numeric
@ATTRIBUTE shape_context42 numeric
@ATTRIBUTE shape_context43 numeric
@ATTRIBUTE shape_context44 numeric
@ATTRIBUTE shape_context45 numeric
@ATTRIBUTE shape_context46 numeric
@ATTRIBUTE shape_context47 numeric
@ATTRIBUTE shape_context48 numeric
@ATTRIBUTE shape_context49 numeric
@ATTRIBUTE shape_context50 numeric
@ATTRIBUTE shape_context51 numeric
@ATTRIBUTE shape_context52 numeric
@ATTRIBUTE shape_context53 numeric
@ATTRIBUTE shape_context54 numeric
@ATTRIBUTE shape_context55 numeric
@ATTRIBUTE shape_context56 numeric
@ATTRIBUTE shape_context57 numeric
@ATTRIBUTE shape_context58 numeric
@ATTRIBUTE shape_context59 numeric
@ATTRIBUTE shape_context60 numeric
@ATTRIBUTE shape_context61 numeric
@ATTRIBUTE shape_context62 numeric
@ATTRIBUTE shape_context63 numeric
@ATTRIBUTE shape_context64 numeric
@ATTRIBUTE shape_context65 numeric
@ATTRIBUTE shape_context66 numeric
@ATTRIBUTE shape_context67 numeric
@ATTRIBUTE shape_context68 numeric
@ATTRIBUTE shape_context69 numeric
@ATTRIBUTE shape_context70 numeric
@ATTRIBUTE shape_context71 numeric
@ATTRIBUTE shape_context72 numeric
@ATTRIBUTE shape_context73 numeric
@ATTRIBUTE shape_context74 numeric
@ATTRIBUTE shape_context75 numeric
@ATTRIBUTE shape_context76 numeric
@ATTRIBUTE shape_context77 numeric
@ATTRIBUTE shape_context78 numeric
@ATTRIBUTE shape_context79 numeric
@ATTRIBUTE shape_context80 numeric
@ATTRIBUTE shape_context81 numeric
@ATTRIBUTE shape_context82 numeric
@ATTRIBUTE shape_context83 numeric
@ATTRIBUTE shape_context84 numeric
@ATTRIBUTE shape_context85 numeric
@ATTRIBUTE shape_context86 numeric
@ATTRIBUTE shape_context87 numeric
@ATTRIBUTE shape_context88 numeric
@ATTRIBUTE shape_context89 numeric
@ATTRIBUTE shape_context90 numeric
@ATTRIBUTE shape_context91 numeric
@ATTRIBUTE shape_context92 numeric
@ATTRIBUTE shape_context93 numeric
@ATTRIBUTE shape_context94 numeric
@ATTRIBUTE shape_context95 numeric
@ATTRIBUTE shape_context96 numeric
@ATTRIBUTE shape_context97 numeric
@ATTRIBUTE shape_context98 numeric
@ATTRIBUTE shape_context99 numeric
@ATTRIBUTE shape_context100 numeric
@ATTRIBUTE shape_context101 numeric
@ATTRIBUTE shape_context102 numeric
@ATTRIBUTE shape_context103 numeric
@ATTRIBUTE shape_context104 numeric
@ATTRIBUTE shape_context105 numeric
@ATTRIBUTE shape_context106 numeric
@ATTRIBUTE shape_context107 numeric
@ATTRIBUTE shape_context108 numeric
@ATTRIBUTE shape_context109 numeric
@ATTRIBUTE shape_context110 numeric
@ATTRIBUTE shape_context111 numeric
@ATTRIBUTE shape_context112 numeric
@ATTRIBUTE shape_context113 numeric
@ATTRIBUTE shape_context114 numeric
@ATTRIBUTE shape_context115 numeric
@ATTRIBUTE shape_context116 numeric
@ATTRIBUTE shape_context117 numeric
@ATTRIBUTE shape_context118 numeric
@ATTRIBUTE shape_context119 numeric
@ATTRIBUTE shape_context120 numeric
@ATTRIBUTE shape_context121 numeric
@ATTRIBUTE shape_context122 numeric
@ATTRIBUTE shape_context123 numeric
@ATTRIBUTE shape_context124 numeric
@ATTRIBUTE shape_context125 numeric
@ATTRIBUTE shape_context126 numeric
@ATTRIBUTE shape_context127 numeric
@ATTRIBUTE shape_context128 numeric
@ATTRIBUTE shape_context129 numeric
@ATTRIBUTE shape_context130 numeric
@ATTRIBUTE shape_context131 numeric
@ATTRIBUTE shape_context132 numeric
@ATTRIBUTE shape_context133 numeric
@ATTRIBUTE shape_context134 numeric
@ATTRIBUTE shape_context135 numeric
@ATTRIBUTE shape_context136 numeric
@ATTRIBUTE shape_context137 numeric
@ATTRIBUTE shape_context138 numeric
@ATTRIBUTE shape_context139 numeric
@ATTRIBUTE shape_context140 numeric
@ATTRIBUTE shape_context141 numeric
@ATTRIBUTE shape_context142 numeric
@ATTRIBUTE shape_context143 numeric
@ATTRIBUTE class { A B C D E F G H I J  } 

 @DATA 
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053284,0.025079,0.000000,0.000000,0.069266,0.004237,0.000000,0.000000,0.067863,0.000066,0.000000,0.000000,0.073451,0.000000,0.000000,0.000000,0.132428,0.072299,0.000000,0.000000,0.072060,0.091234,0.000000,0.000000,0.092452,0.063440,0.000000,0.000000,0.177767,0.005072,0.000000,0.000000,0.000087,0.000000,0.000000,0.000000,0.000199,0.000050,0.000000,0.000000,0.000124,0.000000,0.000000,0.000000,0.000075,0.000000,0.000000,0.000000,0.042740,0.011396,0.000000,0.000000,0.039459,0.016131,0.000000,0.000000,0.083143,0.004561,0.000000,0.000025,0.083777,0.001417,0.000000,0.000000,0.182554,0.040378,0.000000,0.000000,0.065831,0.089904,0.000000,0.000000,0.075201,0.093433,0.000000,0.000000,0.161898,0.007618,0.000000,0.000000,0.000037,0.000050,0.000000,0.000000,0.000062,0.000074,0.000000,0.000000,0.000074,0.000111,0.000000,0.000000,0.000062,0.000111,0.000000,0.000000,0.041549,0.018867,0.000000,0.000000,0.038762,0.015534,0.000000,0.000000,0.067675,0.016265,0.000000,0.000000,0.070276,0.010889,0.000000,0.000000,0.198912,0.030957,0.000000,0.000000,0.076396,0.074303,0.000000,0.000000,0.059697,0.115232,0.000000,0.000000,0.132117,0.031986,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049661,0.028637,0.000000,0.000000,0.064340,0.006933,0.000000,0.000000,0.069964,0.000525,0.000000,0.000000,0.074394,0.000082,0.000000,0.000000,0.115752,0.073322,0.000000,0.000000,0.075980,0.132203,0.000000,0.000000,0.070891,0.036527,0.000000,0.000000,0.190950,0.009837,0.000000,0.000000,0.000223,0.000107,0.000000,0.000000,0.000407,0.000165,0.000000,0.000000,0.000417,0.000000,0.000000,0.000000,0.000204,0.000000,0.000000,0.000000,0.041017,0.018002,0.000000,0.000000,0.044070,0.015996,0.000000,0.000000,0.073144,0.012457,0.000000,0.000000,0.078621,0.006621,0.000000,0.000000,0.171415,0.034677,0.000000,0.000000,0.086377,0.074026,0.000000,0.000000,0.062606,0.099735,0.000000,0.000000,0.170155,0.009559,0.000000,0.000000,0.000423,0.000000,0.000000,0.000000,0.000394,0.000000,0.000000,0.000000,0.000118,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.000000,0.043408,0.023698,0.000000,0.000000,0.047533,0.015940,0.000000,0.000059,0.067450,0.008172,0.000000,0.000000,0.078389,0.001280,0.000000,0.000000,0.160991,0.042798,0.000000,0.000000,0.081549,0.079422,0.000000,0.000000,0.060854,0.097429,0.000000,0.000000,0.186293,0.003712,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056587,0.013585,0.000000,0.000133,0.064817,0.001696,0.000000,0.000000,0.073867,0.000000,0.000000,0.000000,0.076154,0.000000,0.000000,0.000000,0.132169,0.065979,0.000000,0.000000,0.081831,0.122528,0.000000,0.000000,0.068190,0.046812,0.000000,0.000000,0.193823,0.001829,0.000000,0.000000,0.000208,0.000017,0.000000,0.000000,0.000156,0.000087,0.000000,0.000000,0.000121,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039425,0.012233,0.000000,0.000000,0.038678,0.013951,0.000000,0.000000,0.076403,0.014697,0.000000,0.000000,0.075309,0.009717,0.000000,0.000000,0.201374,0.027278,0.000000,0.000000,0.088966,0.068073,0.000000,0.000000,0.061566,0.112391,0.000000,0.000000,0.144563,0.014767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050251,0.010736,0.000000,0.000000,0.046216,0.009172,0.000000,0.000000,0.071812,0.012300,0.000000,0.000000,0.065626,0.016940,0.000000,0.000000,0.209215,0.027409,0.000000,0.000000,0.077856,0.069057,0.000000,0.000000,0.059885,0.117992,0.000000,0.000000,0.111931,0.043603,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.045583,0.024878,0.000000,0.000000,0.059089,0.005865,0.000000,0.000000,0.060844,0.002155,0.000000,0.000000,0.054170,0.009775,0.000000,0.000000,0.178433,0.046119,0.000000,0.000000,0.032130,0.138673,0.000000,0.000000,0.043061,0.114594,0.000000,0.000000,0.143202,0.041368,0.000000,0.000000,0.000135,0.000135,0.000000,0.000000,0.000202,0.000106,0.000000,0.000000,0.000010,0.000000,0.000000,0.000000,0.000048,0.000000,0.000000,0.000000,0.038269,0.015236,0.000000,0.000000,0.042768,0.018197,0.000000,0.000000,0.076038,0.001480,0.000000,0.000000,0.076865,0.002653,0.000000,0.000000,0.149317,0.043700,0.000000,0.000000,0.023753,0.146183,0.000000,0.000000,0.048910,0.115566,0.000000,0.000000,0.191969,0.008459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.041807,0.023302,0.000000,0.000000,0.054188,0.011021,0.000000,0.000000,0.067697,0.003188,0.000000,0.000000,0.073752,0.002868,0.000000,0.000000,0.125672,0.058994,0.000000,0.000000,0.048742,0.115470,0.000000,0.000000,0.050950,0.111963,0.000000,0.000000,0.173904,0.036452,0.000000,A
0.000000,0.000292,0.000000,0.000000,0.000000,0.000179,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000065,0.000000,0.000000,0.000000,0.039849,0.016239,0.000000,0.000000,0.046864,0.016726,0.000000,0.000000,0.071920,0.001932,0.000000,0.000000,0.078351,0.002192,0.000000,0.000000,0.132279,0.055747,0.000000,0.000000,0.027313,0.143516,0.000000,0.000000,0.043389,0.115001,0.000000,0.000000,0.193855,0.014257,0.000000,0.000000,0.000031,0.000046,0.000000,0.000000,0.000061,0.000015,0.000000,0.000000,0.000046,0.000000,0.000000,0.000000,0.000061,0.000000,0.000000,0.000092,0.042593,0.004278,0.000000,0.000000,0.043360,0.014765,0.000000,0.000000,0.077949,0.000077,0.000000,0.000000,0.078210,0.002852,0.000000,0.000000,0.177501,0.038806,0.000000,0.000000,0.033808,0.138956,0.000000,0.000000,0.052927,0.113673,0.000000,0.000000,0.173454,0.006440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040774,0.024040,0.000000,0.000000,0.055848,0.006776,0.000000,0.000000,0.055934,0.001968,0.000000,0.000051,0.063223,0.001266,0.000000,0.000000,0.133547,0.063685,0.000000,0.000000,0.063565,0.121124,0.000000,0.000000,0.037198,0.112450,0.000000,0.000000,0.186110,0.032441,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044310,0.024564,0.000000,0.000000,0.053628,0.010559,0.000000,0.000000,0.056743,0.000990,0.000000,0.000000,0.062050,0.000607,0.000000,0.000000,0.153217,0.065006,0.000000,0.000000,0.035440,0.158470,0.000000,0.000000,0.058750,0.078377,0.000000,0.000000,0.171207,0.026082,0.000000,0.000000,0.000000,0.000035,0.000000,0.000000,0.000024,0.000047,0.000000,0.000000,0.000059,0.000118,0.000000,0.000000,0.000047,0.000106,0.000000,0.000000,0.039814,0.004827,0.000000,0.000000,0.042734,0.014939,0.000000,0.000082,0.071199,0.004874,0.000000,0.000000,0.077120,0.002425,0.000000,0.000000,0.161563,0.049126,0.000000,0.000000,0.021178,0.147837,0.000000,0.000000,0.056896,0.116617,0.000000,0.000000,0.178822,0.009512,0.000000,0.000000,0.000122,0.000000,0.000000,0.000000,0.000306,0.000000,0.000000,0.000000,0.000196,0.000000,0.000000,0.000000,0.000098,0.000000,0.000000,0.000000,0.040959,0.018371,0.000000,0.000000,0.051141,0.008006,0.000000,0.000000,0.063670,0.002359,0.000000,0.000000,0.067275,0.001858,0.000000,0.000000,0.152677,0.043734,0.000000,0.000000,0.038698,0.130370,0.000000,0.000000,0.033161,0.132057,0.000000,0.000000,0.186413,0.028528,0.000000,A
0.000000,0.000159,0.000000,0.000000,0.000000,0.000295,0.000000,0.000000,0.000000,0.000286,0.000027,0.000000,0.000000,0.000141,0.000018,0.000000,0.000000,0.057772,0.019524,0.000000,0.000018,0.059070,0.018634,0.000000,0.000005,0.033648,0.047704,0.000000,0.000000,0.032623,0.040331,0.000000,0.000000,0.167972,0.043426,0.000000,0.000000,0.050177,0.090526,0.000000,0.000000,0.015694,0.167087,0.000000,0.000000,0.069197,0.085667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070036,0.020636,0.000000,0.000000,0.070094,0.018084,0.000000,0.000000,0.052539,0.036756,0.000000,0.000000,0.051355,0.031316,0.000000,0.000000,0.162144,0.035211,0.000000,0.000000,0.042529,0.093923,0.000000,0.000000,0.001781,0.166212,0.000000,0.000000,0.079502,0.067879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068513,0.012120,0.000000,0.000000,0.069162,0.007070,0.000000,0.000000,0.056603,0.017868,0.000000,0.000000,0.056354,0.010846,0.000000,0.000000,0.183749,0.022547,0.000000,0.000000,0.081214,0.070236,0.000000,0.000000,0.026177,0.152006,0.000000,0.000000,0.109981,0.055554,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066186,0.018711,0.000000,0.000000,0.069475,0.015329,0.000000,0.000000,0.057246,0.018884,0.000000,0.000000,0.056510,0.012276,0.000000,0.000000,0.173898,0.011133,0.000000,0.000000,0.083144,0.074986,0.000000,0.000000,0.026540,0.145729,0.000000,0.000000,0.117717,0.052235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.056311,0.018489,0.000000,0.000000,0.059551,0.014880,0.000000,0.000000,0.042720,0.026812,0.000000,0.000000,0.044318,0.021667,0.000000,0.000000,0.174137,0.043795,0.000000,0.000000,0.049063,0.100060,0.000000,0.000000,0.004699,0.190445,0.000000,0.000000,0.073678,0.079329,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.059828,0.019133,0.000000,0.000000,0.064391,0.018097,0.000000,0.000000,0.049434,0.022227,0.000000,0.000000,0.052032,0.018313,0.000000,0.000000,0.171487,0.026387,0.000000,0.000000,0.047918,0.105905,0.000000,0.000000,0.003836,0.176777,0.000000,0.000000,0.099038,0.065071,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063462,0.006963,0.000000,0.000000,0.064036,0.003184,0.000000,0.000000,0.065203,0.000962,0.000000,0.000000,0.053838,0.010987,0.000000,0.000000,0.172612,0.029509,0.000000,0.000000,0.064425,0.114792,0.000000,0.000000,0.065951,0.090033,0.000000,0.000000,0.131399,0.062643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055523,0.005829,0.000000,0.000000,0.054866,0.004863,0.000000,0.000000,0.067730,0.001266,0.000000,0.000000,0.048100,0.015774,0.000000,0.000000,0.217799,0.020607,0.000000,0.000000,0.055115,0.115680,0.000000,0.000000,0.065807,0.107300,0.000000,0.000000,0.083086,0.080654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068709,0.005142,0.000000,0.000000,0.070145,0.000540,0.000000,0.000000,0.059891,0.004531,0.000000,0.000010,0.049098,0.012086,0.000000,0.000000,0.161082,0.021189,0.000000,0.000000,0.070135,0.116983,0.000000,0.000000,0.057916,0.088564,0.000000,0.000000,0.156968,0.057010,0.000000,A
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068796,0.004053,0.000000,0.000000,0.070008,0.000132,0.000000,0.000000,0.062760,0.000022,0.000000,0.000000,0.049961,0.010574,0.000000,0.000000,0.150876,0.030422,0.000000,0.000000,0.071638,0.118141,0.000000,0.000000,0.063619,0.082432,0.000000,0.000000,0.160921,0.055645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065400,0.006853,0.000000,0.000000,0.066841,0.000710,0.000000,0.000000,0.062517,0.000444,0.000000,0.000000,0.050009,0.010911,0.000000,0.000000,0.140690,0.046571,0.000000,0.000000,0.080081,0.109199,0.000000,0.000000,0.065111,0.082587,0.000000,0.000000,0.153819,0.058259,0.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047552,0.012538,0.000000,0.000000,0.048186,0.010769,0.000000,0.000000,0.064852,0.002621,0.000000,0.000000,0.050829,0.014482,0.000000,0.000000,0.210371,0.024486,0.000000,0.000000,0.054127,0.116227,0.000000,0.000000,0.072847,0.101876,0.000000,0.000000,0.094734,0.073393,0.000000,A
