@RELATION DepthMaps 
@ATTRIBUTE dynamic_shape_context0 numeric
@ATTRIBUTE dynamic_shape_context1 numeric
@ATTRIBUTE dynamic_shape_context2 numeric
@ATTRIBUTE dynamic_shape_context3 numeric
@ATTRIBUTE dynamic_shape_context4 numeric
@ATTRIBUTE dynamic_shape_context5 numeric
@ATTRIBUTE dynamic_shape_context6 numeric
@ATTRIBUTE dynamic_shape_context7 numeric
@ATTRIBUTE dynamic_shape_context8 numeric
@ATTRIBUTE dynamic_shape_context9 numeric
@ATTRIBUTE dynamic_shape_context10 numeric
@ATTRIBUTE dynamic_shape_context11 numeric
@ATTRIBUTE dynamic_shape_context12 numeric
@ATTRIBUTE dynamic_shape_context13 numeric
@ATTRIBUTE dynamic_shape_context14 numeric
@ATTRIBUTE dynamic_shape_context15 numeric
@ATTRIBUTE dynamic_shape_context16 numeric
@ATTRIBUTE dynamic_shape_context17 numeric
@ATTRIBUTE dynamic_shape_context18 numeric
@ATTRIBUTE dynamic_shape_context19 numeric
@ATTRIBUTE dynamic_shape_context20 numeric
@ATTRIBUTE dynamic_shape_context21 numeric
@ATTRIBUTE dynamic_shape_context22 numeric
@ATTRIBUTE dynamic_shape_context23 numeric
@ATTRIBUTE dynamic_shape_context24 numeric
@ATTRIBUTE dynamic_shape_context25 numeric
@ATTRIBUTE dynamic_shape_context26 numeric
@ATTRIBUTE dynamic_shape_context27 numeric
@ATTRIBUTE dynamic_shape_context28 numeric
@ATTRIBUTE dynamic_shape_context29 numeric
@ATTRIBUTE dynamic_shape_context30 numeric
@ATTRIBUTE dynamic_shape_context31 numeric
@ATTRIBUTE dynamic_shape_context32 numeric
@ATTRIBUTE dynamic_shape_context33 numeric
@ATTRIBUTE dynamic_shape_context34 numeric
@ATTRIBUTE dynamic_shape_context35 numeric
@ATTRIBUTE dynamic_shape_context36 numeric
@ATTRIBUTE dynamic_shape_context37 numeric
@ATTRIBUTE dynamic_shape_context38 numeric
@ATTRIBUTE dynamic_shape_context39 numeric
@ATTRIBUTE dynamic_shape_context40 numeric
@ATTRIBUTE dynamic_shape_context41 numeric
@ATTRIBUTE dynamic_shape_context42 numeric
@ATTRIBUTE dynamic_shape_context43 numeric
@ATTRIBUTE dynamic_shape_context44 numeric
@ATTRIBUTE dynamic_shape_context45 numeric
@ATTRIBUTE dynamic_shape_context46 numeric
@ATTRIBUTE dynamic_shape_context47 numeric
@ATTRIBUTE dynamic_shape_context48 numeric
@ATTRIBUTE dynamic_shape_context49 numeric
@ATTRIBUTE class { A B C D E F G H I J K L M N O P Q R S T U V  } 

 @DATA 
-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,-0.124229,A
-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,-0.142843,A
-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,-0.141736,A
-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,-0.127155,A
-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,-0.133035,A
-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,-0.131254,A
-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,-0.126779,A
-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,-0.124347,A
-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,-0.122518,A
-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,-0.128403,A
